"Country or Area","Year","Value"
"Latvia","2002","1599.9484833324"
"Latvia","2001","1636.00799903923"
"Latvia","2000","1558.70987830167"
"Latvia","1999","1551.48318005541"
"Latvia","1998","1621.78047051656"
"Latvia","1997","1675.88903717688"
"Latvia","1996","1680.3838699088"
"Latvia","1995","1686.91582232954"
"Latvia","1994","1846.21552766139"
"Latvia","1993","2081.04040311782"
"Latvia","1992","2513.71114515622"
"Latvia","1991","3076.29709211206"
"Latvia","1990","3189.4742086189"
"Liechtenstein","2018","9.1321458656618"
"Liechtenstein","2017","8.97341549351088"
"Liechtenstein","2016","9.02464542042106"
"Liechtenstein","2015","9.17911365921484"
"Liechtenstein","2014","9.12662107280648"
"Liechtenstein","2013","9.23764932280224"
"Liechtenstein","2012","9.52976632476554"
"Liechtenstein","2011","9.67454277981282"
"Liechtenstein","2010","9.29250540693874"
"Liechtenstein","2009","9.52777404226404"
"Liechtenstein","2008","9.63147304294452"
"Liechtenstein","2007","9.44870549268958"
"Liechtenstein","2006","9.37246642424488"
"Liechtenstein","2005","9.19423742054892"
"Liechtenstein","2004","9.06426330586842"
"Liechtenstein","2003","9.39096503252148"
"Liechtenstein","2002","9.37605971897288"
"Liechtenstein","2001","9.22745837780326"
"Liechtenstein","2000","9.22273790858274"
"Liechtenstein","1999","9.32361817573888"
"Liechtenstein","1998","9.56915597844374"
"Liechtenstein","1997","9.89810995792898"
"Liechtenstein","1996","9.85583935163722"
"Liechtenstein","1995","9.9372986980225"
"Liechtenstein","1994","10.0327742044079"
"Liechtenstein","1993","10.0627018278755"
"Liechtenstein","1992","10.3046450217141"
"Liechtenstein","1991","10.3862358234656"
"Liechtenstein","1990","10.1725656630518"
"Lithuania","2018","2955.34623066307"
"Lithuania","2017","3068.37348991253"
"Lithuania","2016","3033.20147613122"
"Lithuania","2015","3105.46073666867"
"Lithuania","2014","3085.43264432622"
"Lithuania","2013","2948.72160499127"
"Lithuania","2012","3178.4130964137"
"Lithuania","2011","3356.45834680754"
"Lithuania","2010","3013.85093617221"
"Lithuania","2009","3119.56782880143"
"Lithuania","2008","5195.07928622526"
"Lithuania","2007","5458.00123520759"
"Lithuania","2006","4658.94839379742"
"Lithuania","2005","4710.74677596917"
"Lithuania","2004","4445.16491714538"
"Lithuania","2003","4219.48680361602"
"Lithuania","2002","4114.36018441464"
"Lithuania","2001","3880.61925185987"
"Lithuania","2000","3765.72117507119"
"Lithuania","1999","3564.50157941492"
"Lithuania","1998","3614.33025547464"
"Lithuania","1997","3376.32249906693"
"Lithuania","1996","3262.51592408345"
"Lithuania","1995","2806.64571187215"
"Lithuania","1994","2856.86305196013"
"Lithuania","1993","3207.56117839845"
"Lithuania","1992","3676.555284157"
"Lithuania","1991","5367.68589683742"
"Lithuania","1990","5238.61368077306"
"Luxembourg","2018","313.134625626633"
"Luxembourg","2017","312.144197514021"
"Luxembourg","2016","308.337002590813"
"Luxembourg","2015","297.58694755349"
"Luxembourg","2014","299.364704107873"
"Luxembourg","2013","296.080347207338"
"Luxembourg","2012","295.546614692476"
"Luxembourg","2011","300.090385648361"
"Luxembourg","2010","297.148112382837"
"Luxembourg","2009","289.505287383877"
"Luxembourg","2008","292.529278170351"
